Species,Average_Length_m,Maximum_Length_m,Average_Weight_kg,Maximum_Weight_kg,Lifespan_years,Swimming_Speed_kmh,Bite_Force_N,Gestation_Period_months,Number_of_Teeth,Diet_kg_per_week
Great White Shark,4.27,6.72,994.51,2251.39,72,55.13,16580.11,13,285,188.44
Sand Tiger Shark,3.2,3.02,145.09,307.77,14,23.43,2891.62,8,216,46.72
Great White Shark,4.79,6.31,1141.27,2277.14,70,60.08,17398.14,12,284,205.04
Sand Tiger Shark,2.82,3.3,159.07,327.69,15,23.18,2939.44,8,186,51.28
Great White Shark,4.71,6.17,1053.34,2213.2,76,54.08,19056.8,11,321,208.7
Sand Tiger Shark,2.95,3.45,158.32,318.45,16,25.55,2739.87,9,198,46.53
Great White Shark,4.95,6.21,1157.31,2270.97,71,57.01,17731.78,13,310,208.26
Sand Tiger Shark,3.3,3.33,173.38,292.78,15,24.56,2889.83,8,208,46.33
Great White Shark,4.42,5.79,1189.63,2355.85,72,57.83,19516.48,13,323,185.36
Sand Tiger Shark,3.05,3.11,158.5,282.32,15,26.25,2857.43,9,191,49.86
Great White Shark,4.26,6.14,1096.41,2354.59,73,55.72,17046.85,12,284,201.57
Sand Tiger Shark,3.25,3.24,164.44,281.72,14,25.29,2901.06,9,183,47.4
Great White Shark,4.83,6.44,1094.34,1986.9,71,57.2,17617.07,13,320,181.24
Sand Tiger Shark,2.75,3.01,172.44,270.4,13,24.83,3163.13,8,186,48.73
Great White Shark,4.21,6.25,1050.28,2287.09,68,51.84,19596.74,13,294,180.79
Sand Tiger Shark,3.21,3.43,161.41,278.38,14,25.63,3205.08,9,192,50.2
Great White Shark,4.41,6.11,1193.89,2059.48,64,52.44,17535.82,12,300,202.82
Sand Tiger Shark,2.93,3.38,161.07,284.09,14,22.64,3217.94,8,201,46.89
Great White Shark,4.66,6.68,1133.51,2365.04,63,59.78,19623.8,13,279,189.42
Sand Tiger Shark,3.18,3.5,149.1,317.58,16,22.33,3133.01,9,211,47.91
Great White Shark,4.77,6.78,1118.8,2385.01,71,52.03,17478.97,11,284,207.86
Sand Tiger Shark,3.17,3.51,170.12,304.2,15,23.58,3233.87,8,206,47.95
Great White Shark,4.07,6.09,1208.26,2103.5,74,59.21,16467.63,11,315,200.35
Sand Tiger Shark,3.06,3.14,161.55,309.94,14,22.18,3104.22,9,193,48.29
Great White Shark,4.9,5.93,1168.16,2329.78,66,56.56,17247.81,12,328,183.23
Sand Tiger Shark,3.08,3.25,146.02,295.64,16,25.49,3134.17,9,213,45.05
Great White Shark,4.93,5.86,1130.43,2244.29,65,59.68,18758.73,10,315,211.58
Sand Tiger Shark,2.85,3.24,172.49,300.7,15,21.91,3209.68,8,208,48.39
Great White Shark,4.71,6.1,1100.51,2063.23,69,61.03,18033.54,10,293,219.81
Sand Tiger Shark,3.0,3.22,153.23,291.39,15,22.69,3239.95,9,195,53.9
Great White Shark,4.51,6.7,1090.03,2039.07,66,58.54,18750.43,10,328,214.15
Sand Tiger Shark,2.8,2.95,160.99,283.56,13,25.54,3141.18,8,198,54.43
Great White Shark,4.19,6.12,994.07,2392.77,63,54.59,16931.8,10,315,207.58
Sand Tiger Shark,2.89,3.02,153.02,324.54,16,25.02,2915.78,8,188,48.8
Great White Shark,4.87,6.91,1168.15,2378.57,74,52.2,16795.96,13,304,192.65
Sand Tiger Shark,3.12,3.46,156.7,315.79,14,26.12,3227.16,9,215,50.29
Great White Shark,4.27,6.76,1031.33,2292.03,68,51.03,16696.75,12,327,191.55
Sand Tiger Shark,2.77,3.31,147.62,285.92,14,24.05,3086.74,9,182,51.98
Great White Shark,4.91,6.57,1164.78,2253.66,70,57.46,17138.19,13,282,212.32
Sand Tiger Shark,2.96,3.42,170.1,272.4,15,22.51,2896.89,9,203,51.8
Great White Shark,4.64,6.73,1021.1,2261.59,73,60.6,16482.47,12,320,190.46
Sand Tiger Shark,2.92,3.5,147.63,278.47,14,22.97,2709.07,8,181,45.31
Great White Shark,4.81,6.62,1119.13,2242.14,71,54.29,16569.49,10,316,211.19
Sand Tiger Shark,3.12,3.3,164.86,306.07,14,25.4,3044.67,9,218,49.28
Great White Shark,4.49,5.99,1204.7,2121.28,74,53.66,17583.04,12,315,200.6
Sand Tiger Shark,2.75,3.23,160.48,285.31,13,23.52,2875.48,9,187,48.29
Great White Shark,4.56,6.93,1041.73,2340.34,72,52.64,16385.38,13,323,212.96
Sand Tiger Shark,3.14,3.42,158.81,289.18,15,24.41,3013.84,8,199,53.33
Great White Shark,4.37,6.03,1103.45,2295.06,74,52.69,16350.81,10,315,207.3
Sand Tiger Shark,3.18,3.47,154.71,303.6,15,26.03,3164.52,9,183,51.56
Great White Shark,4.78,5.81,1022.02,2219.12,76,57.23,16561.42,13,311,191.51
Sand Tiger Shark,2.75,2.96,155.18,298.79,16,23.88,2910.19,8,205,46.22
Great White Shark,4.53,5.94,1039.05,2067.38,74,54.56,17410.58,11,327,210.67
Sand Tiger Shark,3.26,3.03,155.69,281.05,14,25.98,2702.01,9,206,49.93
Great White Shark,4.82,5.83,1207.9,2348.06,63,60.61,18217.05,13,326,202.32
Sand Tiger Shark,2.82,3.44,151.75,317.54,16,24.59,2970.9,9,184,52.66
Great White Shark,4.51,6.06,1107.15,2195.18,76,59.38,17250.62,10,279,195.85
Sand Tiger Shark,2.86,3.39,156.44,292.23,16,21.71,3286.7,9,206,45.36
Great White Shark,4.85,6.1,1203.47,2316.96,67,58.17,18263.14,13,287,214.09
Sand Tiger Shark,3.15,2.95,159.06,293.93,13,23.14,2730.92,9,181,47.88
Great White Shark,4.88,6.25,1144.13,2041.13,70,55.16,17970.44,13,306,207.47
Sand Tiger Shark,2.99,3.27,167.12,290.43,14,22.68,3243.04,9,215,49.92
Great White Shark,4.48,7.02,1005.9,2240.18,68,57.86,19315.84,12,270,192.7
Sand Tiger Shark,3.06,3.01,170.87,324.53,16,25.01,3009.35,8,182,54.14
Great White Shark,4.22,6.82,1009.04,2058.16,67,54.47,18294.96,12,282,190.16
Sand Tiger Shark,3.1,3.13,170.25,291.96,16,26.27,3260.16,9,219,46.68
Great White Shark,4.86,6.84,1088.65,2294.05,70,59.84,17622.55,11,326,213.82
Sand Tiger Shark,3.25,3.36,156.69,291.76,14,25.74,3233.71,8,202,53.2
Great White Shark,4.83,6.6,1069.78,2244.81,70,50.56,16888.7,10,326,192.56
Sand Tiger Shark,3.23,3.25,148.8,292.75,16,22.99,2868.84,9,186,47.78
Great White Shark,4.32,6.79,1122.77,2122.09,74,58.22,17253.49,13,305,197.77
Sand Tiger Shark,3.25,3.52,166.6,293.78,14,23.84,3175.72,8,202,47.7
Great White Shark,4.77,6.49,1072.45,1987.17,76,52.4,16524.46,10,287,218.96
Sand Tiger Shark,2.9,3.36,145.58,282.34,16,24.83,2986.27,9,193,46.34
Great White Shark,4.3,6.6,1046.76,2028.65,76,52.48,17885.0,12,321,198.24
Sand Tiger Shark,3.16,3.39,164.54,322.42,15,25.24,2821.16,8,195,45.27
Great White Shark,4.94,6.2,1101.37,2220.43,70,53.95,18544.71,12,319,193.6
Sand Tiger Shark,3.11,3.38,169.03,274.54,13,25.24,3212.39,8,195,54.86
Great White Shark,4.92,6.73,990.76,2204.43,66,61.37,16250.65,13,325,195.75
Sand Tiger Shark,2.88,3.2,165.46,289.25,13,23.55,2828.65,9,204,53.77
Great White Shark,4.06,6.22,1206.67,2013.45,76,57.97,16487.63,11,316,211.31
Sand Tiger Shark,3.11,3.21,147.46,324.02,16,23.14,3158.53,9,220,51.1
Great White Shark,4.37,7.02,1200.37,2408.32,76,57.24,17972.12,11,321,193.01
Sand Tiger Shark,3.14,2.93,173.16,289.3,13,21.65,2968.39,9,187,46.72
Great White Shark,4.92,6.68,1166.69,2251.46,65,50.5,17477.34,13,275,187.0
Sand Tiger Shark,2.7,2.96,147.78,299.81,14,22.66,2704.14,9,192,50.72
Great White Shark,4.46,6.91,1145.01,2403.96,71,57.96,18131.36,10,288,214.63
Sand Tiger Shark,3.24,2.89,157.66,310.23,14,22.27,2726.54,8,200,53.9
Great White Shark,4.18,5.77,1007.03,2301.48,66,54.4,17462.29,13,285,188.5
Sand Tiger Shark,2.98,3.37,154.8,301.62,14,25.75,3051.59,8,192,46.95
Great White Shark,4.33,6.66,1039.66,2180.04,77,58.73,19086.13,11,329,185.99
Sand Tiger Shark,3.28,3.28,170.32,325.97,16,25.29,3295.71,8,188,52.63
Great White Shark,4.81,6.22,1061.49,2017.59,73,59.78,16424.77,12,311,191.68
Sand Tiger Shark,3.03,3.3,144.35,292.32,15,23.53,2812.45,9,185,48.82
Great White Shark,4.36,6.24,1026.86,2169.26,64,56.25,19637.41,12,312,201.54
Sand Tiger Shark,2.79,3.41,144.29,313.88,13,24.19,3021.57,8,188,52.93
Great White Shark,4.7,6.99,1184.36,2166.91,71,57.63,18646.85,13,291,200.18
Sand Tiger Shark,2.95,3.09,151.81,284.37,15,23.27,2778.37,9,212,51.47
Great White Shark,4.55,6.97,1155.99,2042.59,66,51.8,19586.32,12,280,199.06
Sand Tiger Shark,3.01,3.51,159.55,326.99,13,22.08,3070.77,8,205,52.2
Great White Shark,4.3,6.65,1126.82,2077.26,73,61.32,16456.44,12,274,218.57
Sand Tiger Shark,2.75,3.38,158.23,270.33,16,21.7,2901.48,9,186,53.72
Great White Shark,4.59,6.66,1090.18,2397.76,77,50.89,16271.82,12,286,183.0
Sand Tiger Shark,2.83,3.51,169.63,325.17,15,23.78,2889.52,8,206,52.73
Great White Shark,4.55,5.8,1009.91,2023.0,76,55.39,17494.67,12,314,191.46
Sand Tiger Shark,2.95,3.41,152.39,283.8,16,24.59,3101.48,9,212,49.68
Great White Shark,4.13,6.97,1162.18,2400.24,65,53.5,16934.03,13,325,202.25
Sand Tiger Shark,2.8,2.96,159.58,282.56,14,23.88,3136.93,9,195,49.32
Great White Shark,4.5,6.56,1133.64,2345.31,66,53.04,19742.6,12,272,181.93
Sand Tiger Shark,3.16,3.5,167.01,279.26,14,23.53,3200.21,9,185,53.09
Great White Shark,4.59,6.38,1064.84,2046.04,73,55.18,16286.18,12,317,217.4
Sand Tiger Shark,3.13,3.09,144.86,273.51,13,22.27,3038.04,8,201,46.31
Great White Shark,4.07,5.96,1035.06,2215.34,67,55.3,17548.67,10,270,189.47
Sand Tiger Shark,2.75,3.34,159.58,294.72,16,24.69,2719.95,8,189,53.46
Great White Shark,4.61,6.75,1009.25,2087.89,69,57.06,19004.47,10,313,185.54
Sand Tiger Shark,3.24,3.11,160.44,305.5,14,21.79,2842.31,9,195,51.14
Great White Shark,4.81,6.91,1003.14,2389.11,64,52.56,18167.91,11,304,184.07
Sand Tiger Shark,2.93,3.05,145.1,329.77,13,23.12,2793.06,8,213,54.42
Great White Shark,4.49,6.62,1138.69,2357.91,75,55.57,19753.52,13,328,202.13
Sand Tiger Shark,2.71,3.05,149.11,321.15,16,24.33,2805.15,8,180,49.67
Great White Shark,4.08,6.8,1013.05,2218.44,67,53.88,18377.36,10,288,199.6
Sand Tiger Shark,3.21,3.1,163.25,327.34,14,24.19,3289.79,8,205,53.95
Great White Shark,4.87,7.03,1070.44,2002.96,75,55.37,19720.96,12,300,198.74
Sand Tiger Shark,3.26,3.4,175.64,299.49,15,24.05,3092.47,9,210,50.52
Great White Shark,4.22,6.42,1011.48,1988.38,72,55.65,16269.52,13,315,190.38
Sand Tiger Shark,3.27,3.32,160.74,303.88,14,23.18,3088.68,9,195,48.65
Great White Shark,4.12,6.36,1188.22,2151.21,71,55.75,18421.07,12,313,193.4
Sand Tiger Shark,3.22,3.31,146.27,278.17,16,24.7,2995.42,9,196,50.43
Great White Shark,4.48,6.12,1011.02,2341.39,71,53.85,19272.77,10,288,203.38
Sand Tiger Shark,2.95,3.2,161.37,329.11,15,25.17,2766.59,8,210,50.8
Great White Shark,4.75,5.97,1208.55,2308.62,70,50.6,17977.79,10,272,218.65
Sand Tiger Shark,3.28,3.06,144.81,276.45,13,25.81,2800.74,8,202,50.22
Great White Shark,4.62,6.88,1077.7,1982.34,71,55.17,16268.19,10,296,198.51
Sand Tiger Shark,2.87,3.47,167.69,318.53,13,24.04,3077.25,8,201,51.75
Great White Shark,4.88,5.88,1030.12,2022.43,69,54.82,17013.96,10,284,184.1
Sand Tiger Shark,2.96,3.21,175.22,317.51,15,23.74,2840.4,8,196,48.06
Great White Shark,4.63,6.46,1130.2,1992.88,64,55.11,19371.65,10,282,194.3
Sand Tiger Shark,3.11,3.51,164.52,302.97,16,22.95,2866.32,9,195,46.0
Great White Shark,4.68,6.91,1005.63,2133.25,75,51.6,16747.07,11,329,205.17
Sand Tiger Shark,2.88,3.51,152.37,296.71,14,22.14,3289.18,9,192,54.9
Great White Shark,4.53,5.83,1017.81,2392.79,63,61.01,17334.06,11,311,218.35
Sand Tiger Shark,2.94,3.22,169.91,324.66,13,23.08,3205.08,9,197,45.35
Great White Shark,4.31,6.15,1182.31,2273.39,67,58.29,18462.6,12,293,181.74
Sand Tiger Shark,3.23,2.9,167.99,304.91,15,22.65,3234.99,8,204,48.59
Great White Shark,4.34,6.92,1169.96,2372.82,70,53.01,16346.07,11,305,203.29
Sand Tiger Shark,2.81,3.07,170.44,290.42,16,23.54,3206.75,8,202,52.58
Great White Shark,4.9,6.79,1033.91,2383.44,64,50.52,17888.72,11,315,213.89
Sand Tiger Shark,3.16,3.46,166.55,296.24,14,23.6,3265.66,8,196,50.0
Great White Shark,4.43,6.05,1185.89,2326.69,69,60.2,18509.46,12,315,213.55
Sand Tiger Shark,3.15,3.07,155.89,322.28,13,22.86,2937.22,9,194,50.39
Great White Shark,4.17,7.01,1159.77,2059.95,66,54.77,19758.58,12,315,186.94
Sand Tiger Shark,2.89,3.23,175.08,287.43,15,24.32,2916.65,9,214,48.05
Great White Shark,4.84,6.72,1043.95,2026.85,64,54.45,16956.33,13,276,181.5
Sand Tiger Shark,2.75,3.0,171.95,327.98,15,22.19,2926.66,8,217,45.64
Great White Shark,4.1,6.65,1072.87,2388.64,75,53.73,17231.82,12,291,189.74
Sand Tiger Shark,2.81,3.01,149.82,296.2,14,25.36,3010.85,8,192,45.3
Great White Shark,4.43,6.62,1036.41,2147.64,74,57.47,18018.0,10,312,217.69
Sand Tiger Shark,2.86,3.01,171.23,304.37,13,23.72,2903.18,9,190,54.42
Great White Shark,4.17,6.55,1121.72,2127.63,69,55.55,16396.71,12,297,207.33
Sand Tiger Shark,2.74,3.01,158.97,286.29,16,25.57,2807.69,8,220,49.89
Great White Shark,4.51,6.04,1187.11,2232.44,71,57.14,19368.03,11,306,180.44
Sand Tiger Shark,2.85,3.51,152.73,318.27,16,21.8,3121.7,8,211,48.59
Great White Shark,4.57,6.41,1015.15,2374.33,74,53.51,17329.8,10,330,215.41
Sand Tiger Shark,2.9,3.14,160.49,291.2,14,24.54,3089.79,9,185,46.84
Great White Shark,4.9,6.04,1056.77,2221.32,72,57.07,18102.46,12,279,209.96
Sand Tiger Shark,2.83,3.46,167.03,279.09,13,23.11,3054.83,9,203,54.82
Great White Shark,4.45,6.49,1197.8,2166.73,66,60.47,19427.33,11,296,208.44
Sand Tiger Shark,3.21,3.03,158.08,313.29,16,23.86,2735.65,8,189,53.79
Great White Shark,4.16,6.36,1144.61,2274.81,73,57.78,18177.63,13,283,218.79
Sand Tiger Shark,2.95,3.47,153.69,323.16,15,23.8,3032.04,8,205,53.45
Great White Shark,4.2,6.97,1159.17,2353.91,66,59.28,19329.16,12,283,206.59
Sand Tiger Shark,3.19,3.12,172.16,307.49,13,25.3,3085.76,9,208,52.72
Great White Shark,4.88,6.79,1159.4,2252.25,72,58.09,17691.71,10,324,185.34
Sand Tiger Shark,3.04,3.26,165.61,329.71,13,25.67,3068.7,9,215,51.46
Great White Shark,4.5,5.88,1054.64,2165.77,77,60.71,19786.24,11,318,204.62
Sand Tiger Shark,3.24,3.14,152.26,321.13,15,25.75,2741.51,9,209,52.12
Great White Shark,4.1,6.06,1034.0,2177.29,64,53.72,18015.15,13,303,188.9
Sand Tiger Shark,2.73,3.41,157.39,306.14,14,25.32,2759.56,9,210,47.72
Great White Shark,4.37,5.96,1199.42,2115.47,75,53.16,18640.89,12,308,202.18
Sand Tiger Shark,2.87,3.48,153.97,273.95,16,23.78,2895.09,9,212,48.9
Great White Shark,4.36,5.92,1113.88,2088.45,71,56.55,17891.18,12,279,218.38
Sand Tiger Shark,2.84,3.48,174.42,329.64,16,22.07,2793.58,8,202,48.46
Great White Shark,4.51,6.34,1096.45,2025.53,69,61.6,19278.83,10,327,201.46
Sand Tiger Shark,2.78,2.92,167.6,297.85,13,25.64,2923.65,9,220,46.08
Great White Shark,4.52,7.01,997.42,2138.51,65,61.3,17771.47,13,317,205.63
Sand Tiger Shark,3.19,3.51,162.46,287.33,16,21.65,2944.02,8,193,51.83
Great White Shark,4.38,6.89,1039.47,2226.94,65,54.08,19103.28,11,322,214.78
Sand Tiger Shark,2.91,3.43,156.29,282.67,16,25.7,2919.73,8,209,46.97
Great White Shark,4.33,6.94,1063.91,2213.13,77,55.09,17408.72,13,273,209.19
Sand Tiger Shark,2.72,3.38,155.96,300.55,14,24.94,2746.71,8,199,47.8
Great White Shark,4.41,7.02,1083.84,1990.76,76,52.58,17857.88,10,323,193.99
Sand Tiger Shark,3.27,3.28,150.21,276.32,15,23.65,3276.06,8,219,51.55
Great White Shark,4.11,6.27,1078.59,2238.26,71,55.52,18280.76,13,284,187.06
Sand Tiger Shark,2.82,3.26,161.35,307.56,13,22.22,3197.66,8,214,45.75
Great White Shark,4.75,5.88,1148.87,2023.59,67,53.49,19478.52,11,305,204.03
Sand Tiger Shark,3.17,3.17,149.46,289.31,14,22.37,2846.22,8,213,45.3
Great White Shark,4.65,6.29,1112.05,2295.91,72,59.19,17343.18,13,311,197.81
Sand Tiger Shark,3.0,2.96,152.14,305.64,15,22.72,3123.84,9,193,51.92
Great White Shark,4.72,6.64,1044.75,2356.58,64,54.68,18360.22,10,325,209.8
Sand Tiger Shark,2.86,3.45,170.31,295.03,15,24.24,3138.72,8,192,52.4
Great White Shark,4.72,6.16,1168.63,2297.07,69,53.53,19096.18,12,271,203.44
Sand Tiger Shark,3.3,3.27,154.91,299.56,13,23.68,3278.59,8,182,47.54
Great White Shark,4.55,6.36,1147.55,2209.93,67,51.23,18511.4,12,274,182.07
Sand Tiger Shark,2.83,3.3,162.19,282.94,15,22.37,3084.08,8,191,46.45
Great White Shark,4.78,6.93,1015.3,2352.49,64,54.74,17740.29,11,273,199.73
Sand Tiger Shark,3.26,3.33,172.63,316.99,16,25.74,2802.26,8,184,53.44
Great White Shark,4.6,5.8,1185.95,2218.71,75,56.31,16667.35,12,283,194.53
Sand Tiger Shark,3.25,3.36,175.57,273.04,16,25.57,2901.76,9,197,53.95
Great White Shark,4.88,5.91,1146.45,2024.54,73,54.81,17646.5,10,317,188.26
Sand Tiger Shark,2.81,2.94,162.65,279.47,16,23.38,2759.67,8,216,46.03
Great White Shark,4.42,5.91,1205.77,2376.1,69,56.42,18059.34,13,280,196.85
Sand Tiger Shark,3.13,3.21,164.87,295.59,14,23.85,2896.94,9,216,50.02
Great White Shark,4.83,6.81,1060.79,2372.58,66,55.66,16400.66,10,318,210.67
Sand Tiger Shark,3.09,3.37,159.8,298.6,15,22.17,3016.21,9,212,51.07
Great White Shark,4.9,6.83,1173.28,2303.07,75,56.4,16516.98,10,309,192.21
Sand Tiger Shark,3.0,3.21,157.43,303.85,16,25.5,2850.49,8,217,48.65
Great White Shark,4.13,6.34,1159.18,2005.32,63,57.83,17618.69,11,271,196.46
Sand Tiger Shark,2.88,3.23,164.68,289.32,15,25.58,3157.43,9,186,47.49
Great White Shark,4.23,6.5,1152.21,2295.27,66,55.47,18003.33,12,306,198.84
Sand Tiger Shark,3.15,3.05,149.71,307.27,13,22.74,2839.38,9,217,49.53
Great White Shark,4.76,6.62,1136.37,2204.95,67,59.65,16392.42,10,274,199.9
Sand Tiger Shark,3.2,3.06,172.47,294.06,14,26.25,2903.89,8,200,53.42
Great White Shark,4.49,6.93,1162.97,2025.04,70,52.48,16407.95,13,316,184.96
Sand Tiger Shark,2.78,3.23,170.44,288.8,14,26.29,2862.42,9,195,51.11
Great White Shark,4.54,6.41,1188.59,2012.51,69,56.35,19537.46,13,274,219.92
Sand Tiger Shark,3.2,3.15,146.47,322.57,15,24.57,2954.18,9,187,54.84
Great White Shark,4.7,6.69,1107.87,2253.56,69,57.1,16441.02,11,325,201.69
Sand Tiger Shark,3.28,2.98,167.95,278.73,16,25.05,2827.73,8,186,45.49
Great White Shark,4.13,5.92,1201.2,1991.41,74,52.05,16519.51,12,287,217.64
Sand Tiger Shark,3.01,3.44,165.94,306.25,13,24.94,2939.57,8,190,50.06
Great White Shark,4.15,6.95,1004.89,2182.52,75,56.07,17323.31,13,307,188.91
Sand Tiger Shark,2.95,3.16,166.11,295.83,13,22.23,2774.59,8,184,48.68
Great White Shark,4.54,6.67,1054.56,2111.04,67,50.94,19375.83,11,272,204.19
Sand Tiger Shark,2.77,3.36,162.97,314.94,16,23.85,3159.2,8,211,46.88
Great White Shark,4.11,6.88,1115.86,2092.31,76,51.14,18086.0,11,301,182.23
Sand Tiger Shark,2.8,3.25,167.8,315.89,13,22.96,3189.76,9,198,52.17
Great White Shark,4.56,6.44,997.57,2011.21,66,53.8,18089.92,10,285,218.61
Sand Tiger Shark,2.88,2.92,174.09,305.4,13,25.12,2779.0,9,211,51.97
Great White Shark,4.41,6.95,1138.06,1998.91,74,52.2,19123.5,12,294,182.65
Sand Tiger Shark,2.74,3.43,150.36,296.09,14,25.51,2825.56,9,205,54.07
Great White Shark,4.78,6.86,1159.54,2411.63,63,55.26,18321.29,12,324,205.99
Sand Tiger Shark,3.27,3.16,173.74,328.66,13,25.72,3258.78,8,200,53.07
Great White Shark,4.76,7.04,1103.04,1993.4,75,60.88,19144.34,10,299,210.22
Sand Tiger Shark,3.19,3.04,155.89,299.41,15,23.13,2962.98,9,198,54.53
Great White Shark,4.28,5.87,1065.35,2290.44,67,59.95,18903.96,10,299,216.58
Sand Tiger Shark,3.15,3.37,152.61,324.75,16,24.96,2728.97,8,190,48.73
Great White Shark,4.84,6.7,1137.46,2351.21,74,54.71,16808.16,13,296,196.51
Sand Tiger Shark,2.95,3.49,169.11,310.24,15,25.2,2863.88,9,199,50.06
Great White Shark,4.92,6.66,1037.27,2160.94,69,54.29,19427.72,12,314,212.86
Sand Tiger Shark,2.97,2.93,174.46,321.41,14,26.13,3245.74,8,185,45.68
Great White Shark,4.22,6.85,1014.35,2094.95,71,60.98,17766.46,13,313,209.77
Sand Tiger Shark,3.08,3.26,161.79,270.41,16,25.73,3166.66,9,184,52.04
Great White Shark,4.64,6.19,1100.92,2339.13,77,50.42,16676.1,11,318,189.08
Sand Tiger Shark,3.07,3.22,148.63,312.66,13,22.86,3149.4,9,218,48.58
Great White Shark,4.73,5.93,1051.25,2098.14,66,56.49,19749.19,12,323,182.05
Sand Tiger Shark,3.22,3.22,153.99,306.91,14,22.51,2804.13,9,213,50.93
Great White Shark,4.47,6.97,1195.98,2122.03,74,50.83,18218.03,13,307,215.76
Sand Tiger Shark,3.24,2.91,173.44,289.68,15,25.38,3225.91,8,185,45.97
Great White Shark,4.25,7.0,1008.63,2042.72,74,53.89,17389.47,12,276,191.25
Sand Tiger Shark,2.9,2.99,163.37,326.04,14,22.48,2941.94,8,183,53.28
Great White Shark,4.52,6.89,1116.49,2044.87,66,59.87,17195.59,10,295,192.15
Sand Tiger Shark,2.82,3.09,149.54,279.17,15,26.19,2861.63,9,181,51.07
Great White Shark,4.07,6.89,1007.13,2094.08,64,58.71,16766.84,12,307,219.48
Sand Tiger Shark,2.83,3.04,174.48,329.76,13,26.37,3124.4,8,201,51.96
Great White Shark,4.49,6.62,1097.5,2203.28,76,51.73,18114.76,12,313,211.34
Sand Tiger Shark,3.2,3.3,164.62,328.47,16,26.28,2802.67,8,210,52.6
Great White Shark,4.34,6.43,1078.14,2328.72,73,53.01,18827.17,11,297,219.14
Sand Tiger Shark,2.89,2.98,149.55,271.41,16,24.54,2765.3,9,201,48.59
Great White Shark,4.87,6.82,1123.92,2055.94,71,50.87,16717.55,13,283,206.54
Sand Tiger Shark,2.71,3.43,151.07,278.16,13,26.12,2960.42,8,181,46.71
Great White Shark,4.65,6.36,1106.89,2295.59,68,58.89,18588.11,13,298,188.12
Sand Tiger Shark,2.96,3.24,147.39,302.82,14,21.76,3149.69,8,199,47.23
Great White Shark,4.21,6.36,1184.19,2271.24,67,53.99,18603.94,10,306,200.08
Sand Tiger Shark,2.71,3.42,166.98,292.73,15,22.38,3196.8,8,197,46.98
Great White Shark,4.22,5.85,1195.07,2276.2,71,56.32,17685.69,13,295,181.57
Sand Tiger Shark,2.89,2.89,165.13,277.22,16,24.26,3269.23,9,194,47.46
Great White Shark,4.28,6.82,1185.24,2355.67,63,54.74,16832.16,13,290,213.88
Sand Tiger Shark,2.85,3.42,146.56,294.44,16,26.01,3129.01,8,213,45.92
Great White Shark,4.51,5.93,999.38,2333.63,74,52.14,18459.96,13,282,206.45
Sand Tiger Shark,2.93,3.48,170.2,307.25,13,24.93,3134.07,8,202,48.64
Great White Shark,4.18,6.51,1200.31,2037.57,74,55.14,19719.0,12,318,186.51
Sand Tiger Shark,2.9,3.41,170.63,284.71,13,26.09,3086.05,9,182,49.48
Great White Shark,4.79,5.88,1084.07,2105.71,64,55.55,16865.05,11,311,191.22
Sand Tiger Shark,2.74,2.97,156.65,276.25,13,25.2,3128.13,9,182,54.53
Great White Shark,4.69,6.21,1084.91,2205.79,63,52.44,17715.89,10,330,187.54
Sand Tiger Shark,3.16,2.91,157.57,275.83,15,22.75,3061.81,8,189,53.76
Great White Shark,4.17,6.97,1009.43,2060.95,66,57.16,18587.13,10,323,211.94
Sand Tiger Shark,3.25,3.07,156.7,315.55,15,21.63,2734.12,8,199,50.74
Great White Shark,4.43,5.93,1183.83,2365.38,72,61.07,18081.95,13,297,187.43
Sand Tiger Shark,3.23,3.45,146.07,282.16,15,25.99,2842.93,9,191,54.96
Great White Shark,4.63,6.95,1131.79,2299.39,74,55.58,18180.75,12,284,190.59
Sand Tiger Shark,3.17,3.41,151.71,328.53,16,25.35,2789.13,9,188,53.71
Great White Shark,4.62,6.84,1115.21,2141.85,63,52.74,16490.6,11,329,185.91
Sand Tiger Shark,2.9,2.94,157.31,284.97,14,24.83,3178.93,8,219,50.05
Great White Shark,4.87,6.72,993.23,2076.9,74,58.66,16323.69,11,285,219.52
Sand Tiger Shark,3.19,2.95,148.85,286.26,14,24.66,2982.0,9,213,48.32
Great White Shark,4.82,5.96,1002.36,2328.85,74,50.97,18725.41,10,300,208.05
Sand Tiger Shark,3.1,3.19,159.95,270.08,14,25.94,2791.91,8,187,52.4
Great White Shark,4.37,5.91,1035.25,2192.06,73,51.75,17905.32,10,294,208.49
Sand Tiger Shark,2.77,3.34,165.21,301.72,16,23.34,2901.09,9,197,52.34
Great White Shark,4.74,6.32,1135.33,2251.45,68,53.71,18259.75,11,314,202.84
Sand Tiger Shark,3.15,3.19,155.84,290.51,15,25.01,3271.24,9,215,48.8
Great White Shark,4.21,6.64,1108.84,2018.01,73,59.44,18954.89,11,298,198.24
Sand Tiger Shark,2.87,3.22,170.2,320.55,13,23.49,3261.16,9,186,52.85
Great White Shark,4.2,6.41,1114.65,2130.32,71,55.19,17331.15,12,274,217.55
Sand Tiger Shark,3.16,3.25,169.19,272.16,13,26.11,2949.71,8,219,49.3
Great White Shark,4.81,6.14,1128.83,2154.63,69,58.27,16331.88,11,282,204.84
Sand Tiger Shark,3.0,3.21,170.62,307.59,15,22.19,3255.34,9,205,46.13
